quantity_order,duration,machine_available,bom_depth,total_operations,total_bom_components,is_delayed
413,32,3,5,35,69,1
2209,47,6,5,27,86,1
2111,118,1,4,13,63,1
1706,44,2,1,9,12,0
637,19,4,3,3,53,0
596,21,4,3,5,61,0
1658,16,5,1,13,20,0
1453,27,3,1,8,18,0
1455,68,3,6,20,91,1
113,12,3,2,11,34,0
263,24,4,4,29,37,1
1506,20,5,1,7,13,0
108,10,1,1,7,23,0
2210,24,6,2,3,32,0
1894,39,2,2,4,9,0
1929,85,1,5,5,62,1
887,22,4,3,4,14,0
347,27,6,4,26,29,0
966,21,6,5,7,56,0
1714,18,6,1,8,17,0
170,7,3,2,14,21,0
1613,94,2,6,35,103,1
407,17,4,3,24,57,1
1310,60,4,5,40,63,1
825,24,6,6,6,108,1
1537,28,4,3,7,42,0
1929,90,2,6,46,104,1
1425,51,2,2,18,33,1
1168,27,5,5,14,92,1
1228,45,5,5,36,50,1
410,39,1,3,18,38,1
649,45,2,6,38,57,1
469,14,2,2,5,25,0
964,24,2,1,10,21,0
479,28,5,5,18,67,0
1055,14,6,1,8,15,0
1703,31,6,2,16,33,0
2095,52,4,5,41,46,1
2287,34,6,5,18,61,1
572,37,3,6,30,114,1
2495,28,5,1,10,20,0
1809,76,2,6,14,111,1
2084,25,6,4,9,56,1
235,7,5,1,10,25,0
807,12,6,1,6,21,0
2341,147,1,4,2,51,1
969,19,2,2,2,27,0
1514,75,1,2,17,39,1
462,32,2,5,24,51,1
825,21,5,3,10,55,0
668,24,4,6,19,22,0
556,22,6,3,25,42,0
1225,44,6,5,28,43,1
26,14,3,3,21,62,1
1253,70,1,1,1,22,1
2215,28,6,1,8,13,0
1079,34,5,4,14,57,0
2156,53,4,4,9,43,1
1778,41,5,5,20,77,1
1070,114,1,5,28,81,1
2337,65,3,5,31,69,1
311,9,6,1,9,16,0
190,14,5,3,12,55,0
616,46,2,6,46,68,1
709,31,4,5,22,37,1
1002,32,5,5,22,36,1
1149,14,4,1,3,22,0
200,35,6,6,48,89,1
2310,101,2,1,11,25,0
990,27,3,6,2,102,1
2016,39,3,1,4,19,0
1194,38,2,3,20,39,0
137,12,4,5,1,21,0
2075,20,6,2,3,14,0
1826,27,5,2,0,5,0
1768,85,2,5,14,48,1
579,51,1,5,32,48,1
1356,31,4,5,5,17,0
1905,56,3,5,6,98,1
635,53,2,6,18,81,1
1696,42,3,3,11,59,0
164,7,4,2,0,36,0
1419,37,3,4,18,30,1
794,45,2,2,12,41,0
255,14,4,2,11,32,0
1510,83,1,1,11,23,1
1715,62,2,5,21,80,1
547,26,5,5,12,78,0
1900,39,6,5,27,41,1
1851,50,2,1,13,20,1
930,33,4,3,21,42,0
2465,37,6,3,11,62,1
534,46,2,4,19,70,1
1539,100,1,3,11,20,1
45,12,1,3,26,51,0
694,29,5,5,37,88,1
29,26,3,6,41,99,1
2378,30,6,2,19,26,0
409,17,4,3,23,50,0
981,34,4,3,8,56,0
1916,25,3,1,1,19,0
1176,80,1,4,0,14,1
1125,86,1,6,14,26,1
843,22,2,1,7,14,0
1833,44,5,5,32,47,1
1992,28,6,2,17,20,0
863,28,5,4,28,79,0
60,4,5,1,0,9,0
584,23,2,3,4,54,0
1158,36,5,3,17,49,0
2207,65,3,4,9,75,1
2371,69,2,3,3,60,1
2362,34,3,1,0,23,0
1725,42,2,1,6,25,0
691,17,5,3,7,46,0
847,22,3,3,4,34,0
1087,43,3,5,33,89,1
2321,69,3,2,16,26,1
1605,63,2,4,30,52,1
14,5,4,1,6,10,0
1136,33,5,4,16,66,0
1229,51,3,5,27,78,1
783,11,6,1,5,16,0
886,28,4,5,21,79,1
1001,35,6,5,14,91,0
56,29,5,6,36,41,1
278,13,5,3,14,31,0
379,37,3,6,24,59,1
645,32,3,4,20,30,1
1139,35,2,4,1,32,0
1703,41,4,3,26,42,1
1692,55,4,6,48,104,1
666,38,3,4,31,72,1
129,20,5,6,20,38,0
840,16,3,3,3,36,0
1820,34,5,1,11,25,0
1091,38,5,5,18,96,1
1984,41,3,5,1,69,1
1379,91,1,6,25,62,1
750,32,4,4,33,63,1
126,15,6,6,13,92,1
1863,41,5,6,14,46,1
1160,16,5,2,19,36,0
1941,224,1,5,33,94,1
1022,12,6,3,3,43,0
1674,79,2,6,18,93,1
1091,60,1,2,8,19,1
643,14,6,2,6,25,0
522,73,1,5,29,66,1
1129,38,5,5,12,88,1
1151,57,4,5,26,78,1
569,54,1,3,11,52,0
497,19,2,2,2,7,0
906,36,3,4,12,22,0
1222,26,6,3,14,48,0
713,32,1,1,13,16,0
1480,102,1,6,8,104,1
590,35,2,5,22,88,1
2304,41,4,2,3,18,0
163,31,1,6,39,45,1
1689,72,1,3,2,33,1
1006,14,4,1,1,8,0
1253,43,2,3,18,37,1
1102,38,6,3,27,51,0
1018,26,6,4,22,42,0
2151,177,1,6,39,68,1
1783,26,4,4,6,13,0
967,54,1,3,8,54,1
462,14,3,1,11,24,0
1237,21,6,2,13,32,0
2275,26,5,2,13,32,0
2489,68,3,6,14,62,1
2398,165,1,5,2,41,1
560,37,2,5,14,84,0
1645,32,6,2,18,44,0
1322,32,5,3,23,45,0
1767,40,3,3,19,22,1
366,13,6,4,7,35,0
2080,34,4,6,4,17,1
1795,52,2,4,3,6,0
1791,46,3,5,13,65,1
2499,31,4,2,15,36,1
1641,90,1,3,19,31,1
1025,20,4,2,5,26,0
1358,26,3,1,6,10,0
525,18,3,2,5,25,0
345,23,1,1,2,20,0
1792,38,4,4,14,67,0
2315,59,4,4,28,64,1
506,27,1,5,2,35,1
905,18,4,2,10,26,0
2217,18,6,2,2,23,0
861,46,1,1,11,23,0
1697,51,2,4,9,16,1
1941,27,3,1,1,20,0
2437,80,2,4,32,49,1
1578,20,6,1,10,21,0
966,21,6,4,9,76,0
1646,20,5,1,0,7,0
1301,25,5,4,2,48,0
1450,26,5,6,4,50,0
1201,58,1,1,11,18,1
1076,23,4,2,11,13,0
294,19,6,5,12,35,0
2454,133,2,6,23,71,1
21,30,2,6,43,93,1
1640,32,2,1,8,25,1
763,39,2,5,31,92,1
2092,35,5,2,15,23,1
99,23,2,6,31,96,1
785,20,4,2,12,39,0
1635,47,5,4,20,52,1
427,28,2,5,11,63,0
124,17,1,3,18,53,1
626,30,3,4,20,72,1
835,36,3,5,20,46,1
1659,32,3,1,10,21,0
1526,30,5,1,13,15,0
422,33,2,2,20,34,0
738,20,6,6,5,108,1
685,18,6,3,8,55,0
1902,19,6,1,0,9,0
2249,42,5,5,11,17,0
1132,34,4,6,13,32,1
1581,114,1,6,5,72,1
987,59,1,5,0,58,1
1018,39,3,6,21,51,1
2153,28,3,1,1,26,0
1697,23,6,5,10,38,0
46,16,6,5,2,40,0
1558,29,3,2,9,44,0
2336,54,2,3,5,17,1
2274,27,4,2,5,12,0
882,29,4,3,19,51,1
1831,45,4,5,20,49,1
1306,26,4,6,1,62,0
2119,60,3,3,25,56,1
605,53,1,5,30,86,1
1913,40,3,5,25,95,1
738,16,4,2,9,14,0
1375,22,3,2,5,41,0
406,34,4,6,22,83,1
708,22,5,4,27,52,0
2234,12,6,1,0,9,0
1645,123,1,4,29,79,1
405,17,5,4,13,35,0
85,25,2,6,36,114,1
274,19,3,3,22,29,0
1829,71,2,6,31,95,1
727,68,3,6,48,113,1
860,34,6,5,33,52,1
1400,53,5,5,40,51,1
153,15,6,5,21,26,0
894,13,4,1,6,24,0
405,13,6,3,8,14,0
1502,25,6,3,20,51,0
1177,29,4,5,15,59,1
1072,38,3,4,19,73,0
2166,33,4,1,10,19,0
1075,26,5,4,18,60,0
1219,23,6,2,15,42,0
2455,33,4,3,14,55,1
643,11,6,3,4,44,0
1166,24,5,4,10,37,1
1248,47,2,1,12,14,0
742,19,5,3,17,37,0
244,29,1,4,3,56,1
760,88,1,6,48,97,1
963,109,1,6,35,100,1
1552,16,6,1,6,14,0
1207,36,3,4,14,75,1
1686,80,3,6,45,99,1
1201,22,3,1,11,20,0
2227,28,6,5,2,11,0
1426,17,5,1,9,18,0
1227,25,3,2,7,43,0
1550,70,2,5,37,71,1
2086,200,1,4,21,61,1
1455,40,5,5,13,36,0
2396,213,1,5,16,82,1
1529,52,3,4,20,25,1
1398,33,5,4,14,47,0
1866,49,4,6,14,87,1
1375,31,2,2,0,44,0
509,27,3,4,23,29,1
1690,51,3,3,22,26,0
520,31,2,3,22,46,0
226,11,2,2,11,27,0
1334,19,4,1,9,12,0
1165,25,3,1,13,15,0
1837,28,6,3,9,62,0
1820,52,3,4,30,69,1
1215,68,1,2,10,26,1
2224,21,5,1,5,18,0
100,8,5,1,12,18,0
723,58,1,5,8,53,1
1891,23,5,3,14,36,0
48,15,2,4,13,40,0
182,15,5,2,18,36,0
662,13,5,1,8,23,0
763,85,1,5,35,88,1
1253,32,4,3,20,62,1
1091,21,5,3,6,31,0
1693,29,6,2,7,35,0
465,8,5,1,7,23,0
838,14,4,2,7,23,0
904,53,1,2,18,20,0
1394,38,4,6,46,70,1
1968,104,1,5,29,49,1
2444,79,2,3,25,50,1
2006,140,1,6,21,29,1
2405,66,2,4,8,69,1
199,23,2,3,25,53,0
514,44,1,3,25,34,1
1224,25,6,5,3,60,0
1541,30,3,4,7,24,0
833,50,1,1,0,4,0
938,33,5,4,27,69,1
943,9,6,1,5,22,0
1150,24,6,4,10,48,0
143,10,5,2,4,8,0
2115,59,3,4,23,70,1
694,35,6,6,46,73,1
2230,87,2,6,17,105,1
1862,51,3,5,19,47,0
824,14,5,1,11,20,0
1182,30,3,3,12,55,0
89,16,1,5,4,28,0
212,38,3,6,29,90,1
1262,57,2,6,0,108,1
1709,69,1,1,5,18,1
1260,43,4,6,17,113,1
1692,53,5,6,45,89,1
1565,17,5,1,4,20,0
2104,72,3,6,30,79,1
1266,20,6,3,5,34,0
1559,96,1,2,15,23,1
1176,36,4,5,11,47,0
1406,94,1,3,19,35,1
480,23,5,3,17,53,0
1045,43,1,2,1,35,0
1363,46,4,5,22,42,1
977,22,6,3,12,52,0
367,35,3,6,26,96,1
677,25,2,2,16,30,0
382,42,1,5,16,74,1
1041,52,2,4,20,39,1
1155,14,5,1,1,23,0
1381,62,3,6,39,47,1
99,7,3,2,2,22,0
549,35,1,1,0,26,0
878,28,6,4,25,47,1
50,19,3,3,22,40,0
749,49,1,3,5,9,0
1956,160,1,5,27,82,1
1234,44,2,2,7,17,0
938,20,3,2,12,27,0
2046,153,1,5,7,21,1
934,29,2,1,2,20,0
1591,29,4,3,5,35,0
399,18,2,3,22,28,0
1627,69,2,2,14,25,0
265,28,1,2,9,24,0
718,39,5,5,26,54,1
1848,34,5,4,0,68,0
1954,16,6,1,6,12,0
19,34,5,6,28,32,1
807,27,2,4,2,17,0
886,28,6,4,30,52,0
1038,45,1,2,10,15,1
1025,29,3,2,17,26,0
1834,49,2,2,2,9,1
383,18,2,4,5,48,0
2203,17,6,1,2,15,0
233,21,1,2,4,41,0
1272,29,4,3,8,30,0
2234,81,2,1,11,26,1
1812,31,4,3,18,29,1
862,20,4,1,11,21,0
72,10,5,2,12,26,0
1250,136,1,6,37,42,1
698,30,4,5,20,95,1
1494,97,1,2,13,17,1
1643,41,5,4,5,70,1
2162,224,1,6,37,108,1
520,22,2,4,10,24,0
394,11,4,1,8,22,0
414,36,1,4,16,25,1
527,44,3,6,38,115,1
485,30,1,6,6,35,1
2010,30,4,2,20,40,0
1678,36,5,3,0,47,0
1903,21,5,2,7,25,0
1470,21,4,1,4,14,0
723,32,2,4,29,36,1
92,15,2,3,18,24,0
1178,23,5,5,7,34,0
1911,72,5,6,48,72,1
2058,43,4,3,18,30,1
60,8,2,3,11,16,0
694,16,5,2,14,18,0
726,44,2,5,35,83,1
1479,47,5,6,43,89,1
458,23,1,1,10,19,0
890,16,3,1,12,25,0
497,16,6,3,13,29,0
1833,104,1,3,4,45,1
2091,43,6,4,29,41,1
2152,67,5,5,38,98,1
1584,75,3,6,46,96,1
2211,60,3,3,12,60,1
259,18,5,4,15,41,0
683,27,5,5,6,22,0
447,45,2,6,47,78,1
2175,30,5,1,6,18,0
780,29,4,4,26,43,1
277,26,5,5,34,86,1
1994,40,4,4,14,76,1
1087,35,5,3,27,41,1
245,8,2,2,2,14,0
398,10,4,1,6,17,0
772,41,1,3,17,45,1
1858,29,4,3,13,27,0
2458,112,2,5,19,61,1
633,36,6,4,31,65,1
1262,14,4,1,5,16,0
587,15,5,3,7,26,0
2132,64,5,5,31,97,1
444,11,6,1,9,23,0
2160,63,2,4,19,49,1
773,27,3,3,17,58,1
1339,38,5,6,14,33,1
2155,162,1,3,19,58,1
1368,53,2,3,21,59,1
2492,30,4,1,2,9,0
456,9,4,1,5,22,0
2027,86,1,1,4,19,1
1341,14,5,1,4,10,0
258,21,2,5,1,90,0
175,18,1,2,7,35,0
1368,34,5,5,17,71,1
1029,31,2,3,22,54,0
551,20,4,5,12,83,0
768,32,2,4,8,53,1
2138,47,6,6,48,69,1
2190,29,3,1,6,14,0
806,35,2,4,0,56,1
147,18,3,6,1,36,0
2241,76,2,4,3,77,1
1363,27,3,3,13,51,1
1885,21,6,1,3,17,0
78,8,4,4,1,77,0
2110,31,5,3,7,46,0
1483,33,3,1,1,7,0
214,15,6,2,18,36,0
2183,44,3,3,13,34,0
52,21,4,5,19,40,0
1916,29,3,1,8,16,0
2168,29,6,4,7,50,0
770,39,6,6,27,62,1
2152,136,1,4,20,27,1
2004,64,4,5,22,68,1
1945,201,1,5,31,96,1
909,25,4,4,7,29,0
369,32,3,6,30,102,1
1729,16,6,1,4,18,0
290,28,1,3,15,58,1
1897,86,3,5,39,66,1
676,37,6,5,41,55,1
102,32,4,5,26,79,1
681,33,6,6,39,48,1
1979,44,3,2,8,26,0
70,26,1,6,17,75,1
1038,74,1,1,2,26,1
1499,11,6,1,0,25,0
613,10,3,1,3,14,0
691,23,2,1,4,22,0
1438,22,4,1,10,19,0
2290,64,4,4,16,59,1
533,40,3,5,39,84,1
2403,99,2,6,1,50,1
1978,138,1,4,30,35,1
1111,56,5,6,36,76,1
1763,22,5,2,8,41,0
1846,35,3,3,8,40,0
2306,93,2,5,33,68,1
2104,50,2,2,1,42,1
1154,29,4,4,2,65,0
2271,130,1,3,16,43,1
2296,27,6,2,13,30,0
1089,59,2,6,13,96,1
2407,34,6,3,13,31,0
116,27,5,6,37,102,1
57,5,6,2,2,4,0
346,20,1,4,0,29,0
1059,103,1,6,47,83,1
1290,17,6,3,3,61,0
2065,42,3,2,0,19,0
634,51,2,6,16,82,1
1900,51,3,4,27,35,1
1286,49,6,5,25,71,1
1725,72,2,4,7,52,1
312,31,4,4,33,76,1
648,27,3,5,17,84,1
65,15,3,4,30,55,1
735,23,6,5,26,37,1
535,16,5,5,15,55,0
483,13,6,6,9,99,0
37,23,3,6,39,92,1
2135,74,2,5,11,73,1
374,12,5,2,15,28,0
535,15,6,3,11,18,0
1345,15,6,2,10,18,0
892,41,3,5,19,72,1
1040,39,3,3,18,44,0
1036,24,4,6,0,92,0
1656,41,6,3,26,53,1
928,22,3,5,2,11,0
2420,162,1,6,11,61,1
1784,28,5,3,8,48,0
1541,94,1,3,20,35,1
1916,29,5,2,4,12,0
1225,15,6,3,0,14,0
1664,48,4,5,41,52,1
494,8,3,1,0,2,0
2085,46,3,1,3,13,0
723,19,3,1,2,24,0
1072,36,6,5,26,97,1
1986,20,5,1,7,19,0
1306,32,3,2,14,22,0
1264,105,1,5,26,84,1
2143,62,3,6,30,112,1
135,23,6,5,38,56,1
546,21,4,5,7,53,0
2202,103,1,3,25,32,1
2082,49,3,3,22,37,1
1613,37,3,3,9,51,1
76,15,2,4,17,23,0
242,5,5,2,3,21,0
2166,121,1,5,21,42,1
1179,54,2,5,2,55,1
2168,44,4,3,14,19,0
2285,54,5,5,34,39,1
120,40,1,6,46,103,1
1503,69,3,5,37,89,1
2091,70,1,1,0,6,1
632,27,3,6,13,43,0
2482,70,5,6,47,79,1
1551,46,3,5,0,43,0
1315,31,4,4,25,61,1
1771,23,6,3,7,46,0
1985,42,3,2,17,21,0
2372,50,4,2,15,30,1
886,13,6,1,5,7,0
1999,22,5,2,9,20,0
1322,18,5,2,9,16,0
1470,58,1,3,4,13,1
2334,45,4,3,25,43,1
1743,43,4,4,27,72,1
1615,37,2,1,11,25,1
1536,75,2,2,19,44,1
2407,39,6,4,13,34,1
1640,24,6,1,13,16,0
1170,56,2,6,34,53,1
768,17,6,2,11,18,0
252,16,3,2,19,41,0
1073,37,2,3,17,31,0
238,9,4,5,1,82,0
929,12,3,1,1,8,0
1256,24,6,2,16,42,0
15,4,5,1,9,23,0
477,63,1,4,17,58,1
1765,61,2,4,21,42,1
84,16,5,5,18,57,0
13,10,6,2,20,33,0
1880,21,4,3,0,14,0
655,40,1,2,3,24,0
127,9,5,1,8,22,0
1639,127,1,6,35,70,1
2031,59,2,4,30,34,1
956,11,6,1,1,11,0
1474,42,4,5,18,64,1
203,19,6,4,11,46,0
856,69,1,3,9,35,0
1425,44,5,4,30,66,1
1468,95,2,6,44,54,1
2230,105,2,2,19,40,1
1678,42,6,6,22,88,1
2383,35,5,6,14,116,1
1443,20,5,2,2,21,0
1151,95,1,4,22,50,1
1820,51,6,5,19,50,1
733,14,6,2,12,25,0
234,13,3,2,7,22,0
541,16,6,3,24,28,0
122,16,2,4,7,69,0
2197,176,1,2,17,26,1
568,32,5,5,40,46,1
2058,20,6,1,5,16,0
2147,195,1,4,26,74,1
663,16,6,3,3,49,0
329,22,5,6,14,51,0
1583,29,4,2,4,29,0
1838,30,5,5,4,19,0
1927,33,5,4,8,16,0
148,19,5,5,6,38,0
2036,46,6,5,40,64,1
2316,49,3,6,19,68,1
911,22,5,3,9,19,0
699,50,2,4,25,79,1
2049,58,2,2,3,44,1
19,9,1,3,5,42,0
270,18,3,2,13,30,0
1952,96,1,1,8,14,1
1683,58,2,5,0,27,1
2229,64,2,1,0,6,0
2070,53,4,5,23,68,1
1201,45,5,6,26,31,1
1629,44,2,3,6,58,1
330,7,6,2,8,19,0
1352,50,6,6,42,44,1
1646,80,1,2,2,40,1
2386,125,1,3,25,56,1
2004,31,5,4,11,47,0
1953,15,5,1,4,11,0
2048,19,4,1,2,16,0
1128,25,3,2,14,24,0
1614,113,1,2,20,28,1
2375,33,5,2,9,37,0
245,18,1,3,0,37,0
1979,43,5,4,5,69,0
343,14,2,1,1,18,0
1918,172,1,6,28,102,1
385,29,2,5,39,46,1
1170,46,1,3,0,26,1
1580,39,3,1,12,18,0
1329,33,4,4,3,72,1
1865,35,6,3,26,53,1
1382,31,6,6,3,23,0
882,14,6,1,12,24,0
1262,40,2,3,4,29,0
2327,29,5,1,13,26,0
1861,29,6,1,11,14,0
1324,41,3,4,19,71,1
734,46,6,5,40,97,1
2062,162,1,4,22,28,1
87,8,2,1,12,16,0
141,22,1,3,17,35,0
610,65,1,6,48,92,1
1782,93,1,4,24,60,1
1075,32,4,5,0,51,0
2146,38,4,1,5,11,0
2459,50,5,6,14,35,1
2353,79,2,4,33,58,1
1873,43,3,4,19,23,1
1328,36,3,4,26,53,1
625,32,3,4,21,29,1
2479,181,1,6,4,67,1
1898,24,4,3,1,62,0
1056,64,2,5,38,88,1
584,50,1,5,2,77,1
2200,25,4,1,0,18,0
1002,12,4,2,2,39,0
2202,31,6,3,12,18,0
1258,13,6,1,6,16,0
512,18,2,1,8,24,0
2007,49,2,4,2,26,1
830,26,2,2,14,38,0
2161,125,1,2,17,24,1
1980,35,5,3,9,50,0
207,12,2,2,6,43,0
1679,17,6,1,8,19,0
2448,34,5,2,4,34,0
1212,70,1,2,19,28,1
1481,37,5,5,39,58,1
1656,34,3,1,13,20,0
1702,41,5,6,3,91,1
1322,63,2,2,19,32,0
2045,122,1,2,13,38,1
487,37,2,4,33,52,1
1264,23,6,2,12,18,0
932,17,3,2,0,12,0
429,38,6,5,38,86,1
2214,67,2,1,11,17,1
1130,48,2,3,24,39,1
960,22,2,1,8,15,0
2346,61,4,4,27,49,1
1287,25,3,1,9,14,0
2253,74,2,2,16,44,1
1867,88,2,4,22,54,1
526,12,6,1,12,15,0
1668,32,6,4,9,65,0
1875,51,2,3,15,20,1
1151,70,1,1,5,14,1
1942,69,4,6,47,51,1
824,20,6,2,10,22,0
2285,106,1,4,2,74,1
1910,56,4,6,27,55,1
2273,138,2,6,40,72,1
2072,64,3,5,14,71,1
2104,32,5,4,12,27,0
2381,73,5,6,41,94,1
139,32,2,5,16,90,1
104,12,6,6,6,76,0
1965,86,1,2,5,37,1
803,24,3,3,12,19,0
1844,44,4,5,16,34,1
2126,52,2,3,14,49,1
1693,50,3,4,27,37,1
20,12,3,2,14,18,0
1875,31,6,5,10,50,1
721,28,4,4,30,46,1
2080,77,3,6,3,73,1
824,9,6,1,2,11,0
355,44,1,4,33,50,1
2359,48,6,3,19,49,1
372,37,1,2,9,25,0
2453,170,1,2,12,13,1
2275,56,3,4,19,78,1
